                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.729,                 5.7579,                 1.9256,                  8e-05,                  0.007,                  5e-05,                  1e-05,                 2.6303,                  4.973,                 1.7537,                 0.0006,                 0.0006,                 0.0006
                      2,                 2.6173,                 5.6904,                 1.8465,                0.00012,                0.01362,                  8e-05,                  2e-05,                 2.5209,                 4.9286,                 1.6604,              0.0012991,              0.0012991,              0.0012991
                      3,                 2.2206,                  5.108,                 1.4461,                0.00027,                0.03869,                0.00065,                 0.0002,                   2.23,                 4.7632,                 1.4756,              0.0019974,              0.0019974,              0.0019974
                      4,                 2.1367,                  4.047,                 1.3514,                0.00189,                  0.185,                0.01692,                0.00679,                 2.2396,                 4.4374,                  1.548,              0.0026947,              0.0026947,              0.0026947
                      5,                 2.1275,                 3.5358,                 1.3348,                0.00178,                0.13622,                0.04166,                0.01684,                 2.2305,                 4.4944,                 1.6055,               0.003391,               0.003391,               0.003391
                      6,                 2.0273,                 3.0802,                 1.3528,                0.00274,                0.16082,                0.07649,                0.03173,                 2.1654,                 4.3329,                 1.5176,              0.0040865,              0.0040865,              0.0040865
                      7,                  2.011,                 2.9271,                 1.3315,                0.00332,                0.19843,                0.08252,                0.03284,                 2.1636,                 4.2437,                 1.5214,               0.004781,               0.004781,               0.004781
                      8,                  1.964,                 2.6907,                 1.3005,                0.00448,                0.23233,                0.09638,                0.03508,                 2.2416,                 4.2226,                 1.5775,              0.0054746,              0.0054746,              0.0054746
                      9,                 1.9848,                 2.5367,                 1.3025,                0.00599,                0.39848,                0.18783,                0.07031,                 2.1684,                  3.983,                  1.498,              0.0061673,              0.0061673,              0.0061673
                     10,                 1.9526,                 2.4656,                 1.2978,                0.00731,                0.59184,                0.26494,                0.09985,                 2.1968,                 3.7323,                 1.5129,               0.006859,               0.006859,               0.006859
                     11,                 1.9401,                 2.3471,                 1.2856,                 0.7669,                0.24632,                0.37166,                0.14254,                 2.1215,                 3.3402,                 1.4324,              0.0075498,              0.0075498,              0.0075498
                     12,                 1.8864,                 2.2104,                  1.289,                0.82065,                0.07999,                0.40709,                0.15069,                 2.1478,                 3.0963,                 1.4719,              0.0082397,              0.0082397,              0.0082397
                     13,                 1.8931,                 2.1204,                 1.2852,                0.84888,                0.07763,                  0.398,                0.15253,                 2.2955,                 3.1138,                 1.6417,              0.0089287,              0.0089287,              0.0089287
                     14,                 1.9086,                 2.0291,                 1.2728,                0.90271,                0.07228,                0.37242,                0.13064,                 2.2273,                 3.2491,                 1.6007,              0.0096168,              0.0096168,              0.0096168
                     15,                 1.8123,                 2.0318,                 1.2652,                0.78744,                0.22696,                0.41344,                0.15526,                 2.2245,                 2.9307,                  1.603,              0.0099076,              0.0099076,              0.0099076
                     16,                 1.8745,                 1.8706,                 1.2662,                 0.7275,                0.32496,                0.50672,                0.19296,                 2.1658,                 2.5243,                 1.5582,              0.0099076,              0.0099076,              0.0099076
                     17,                 1.8522,                 1.8211,                 1.2875,                0.68272,                0.39763,                0.49263,                0.18845,                 2.1326,                 2.3934,                 1.5496,               0.009901,               0.009901,               0.009901
