                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5534,                  6.368,                 1.7074,                  5e-05,                0.02254,                  3e-05,                  1e-05,                 2.6394,                 6.3191,                 1.6637,                 0.0008,                 0.0008,                 0.0008
                      2,                 2.3678,                 5.1517,                 1.5366,                0.47244,                0.06269,                0.04307,                0.01795,                 2.4846,                 4.5429,                 1.4857,              0.0016989,              0.0016989,              0.0016989
                      3,                 2.0443,                 2.9706,                 1.3411,                0.31523,                0.25758,                0.20094,                 0.0769,                  2.311,                 2.9479,                 1.4249,              0.0025966,              0.0025966,              0.0025966
                      4,                 1.8408,                 2.1932,                 1.2631,                 0.5234,                0.39949,                0.33885,                0.13062,                 2.2046,                 2.3301,                 1.3949,              0.0034931,              0.0034931,              0.0034931
                      5,                 1.7934,                 1.7528,                 1.2248,                0.48916,                0.50354,                0.48448,                0.18886,                 2.1296,                 1.7825,                 1.3702,              0.0043884,              0.0043884,              0.0043884
                      6,                 1.7912,                 1.4924,                 1.2225,                0.63162,                0.50261,                0.54584,                0.20627,                 2.1822,                 1.7215,                   1.38,              0.0052825,              0.0052825,              0.0052825
                      7,                 1.6981,                 1.4899,                 1.1797,                0.60991,                 0.6204,                0.63656,                0.26067,                 1.9723,                 1.5517,                 1.3167,              0.0061754,              0.0061754,              0.0061754
                      8,                 1.7222,                 1.2061,                 1.1717,                0.61777,                0.55845,                0.59336,                0.23222,                 2.1045,                 2.1921,                 1.3321,              0.0070672,              0.0070672,              0.0070672
                      9,                 1.6615,                 1.1796,                 1.1348,                0.68794,                 0.6345,                0.68667,                0.28281,                 1.9681,                 1.3319,                 1.2917,              0.0079578,              0.0079578,              0.0079578
                     10,                 1.6648,                 1.0902,                 1.1362,                0.64744,                0.65167,                0.67807,                  0.275,                  2.002,                 1.4445,                 1.3005,              0.0088471,              0.0088471,              0.0088471
                     11,                 1.6619,                 1.0174,                 1.1369,                0.65285,                0.69406,                0.72339,                0.28807,                 1.9721,                 1.6342,                 1.3012,              0.0097353,              0.0097353,              0.0097353
                     12,                 1.6166,                 1.0396,                 1.1241,                0.69168,                 0.7141,                0.75261,                0.31267,                 1.9147,                 1.3658,                 1.2615,              0.0099274,              0.0099274,              0.0099274
                     13,                 1.6272,                0.96691,                 1.1154,                0.73792,                0.69592,                0.73702,                 0.3168,                 1.9211,                 1.4346,                 1.2719,              0.0099274,              0.0099274,              0.0099274
                     14,                 1.5909,                0.88285,                 1.0986,                 0.7507,                0.71183,                0.76811,                0.32989,                 1.8324,                  1.495,                 1.2258,              0.0099208,              0.0099208,              0.0099208
                     15,                 1.4815,                 0.8127,                 1.0709,                0.76264,                0.70441,                0.75515,                0.31791,                 1.8865,                 1.3796,                 1.2517,              0.0099142,              0.0099142,              0.0099142
                     16,                 1.4973,                0.79675,                 1.0819,                 0.7102,                0.68254,                0.72648,                0.29573,                  1.995,                 1.4139,                  1.283,              0.0099076,              0.0099076,              0.0099076
                     17,                 1.4633,                 0.7785,                 1.0587,                0.78707,                0.68782,                0.73405,                0.30937,                 1.9558,                  1.156,                 1.2699,               0.009901,               0.009901,               0.009901
                     18,                 1.4781,                0.75632,                 1.0485,                0.80878,                0.75919,                0.79825,                 0.3294,                 1.9153,                 1.0915,                 1.2701,              0.0098944,              0.0098944,              0.0098944
                     19,                 1.4289,                0.74364,                 1.0461,                0.81308,                0.74461,                0.77633,                0.32713,                 1.9235,                 1.0707,                 1.2722,              0.0098878,              0.0098878,              0.0098878
